                   
                                               Deposit Summary Report

                                         Release:                         2022-05-13 #001
                                         Total Check Items:               28351
                                         Total Check Amount:              $710,151.57
                                         Total Cash Items:                268
                                         Total Cash Amount:               $2,423.00
                                         Total Foreign Items:             1
                                         Total Foreign Amount:            $17.00
                                         Total Bank Deposit:              $712,591.57

                                              
                                                         FOREIGN              1         $17.00

                                                         Account Details

Description         Account        BOA Client Id         Items     Total Amount          Non-Cash Amount               Cash Amount
                8  1920683519             000905810            90           $2,825.00                    $2,825.00                   $0.00
1,4,20,101,301     1921245215             000905809       21643          $569,560.42                  $569,417.42                 $143.00
             751   1933238155             000905811         2985          $62,885.84                    $62,458.84                $427.00
             753   1933253059             000905812         3901          $77,303.31                    $75,450.31              $1,853.00
1,4,20,101,301       FOREIGN              000905809             1              $17.00                        $17.00                  $0.00

                                                           Batch Listing

             Item   Batch Number       Checks      Chk Amt      Cash    Cash Amt     Foreign     Foreign Amt      Total Amt
               1      000019179                0        $0.00        4      $74.00            0           $0.00       $74.00
               2      000020290              100  $2,426.00          0       $0.00            0           $0.00   $2,426.00
               3      000020292              100  $2,409.00          0       $0.00            0           $0.00   $2,409.00
               4      000020296               99  $2,334.00          0       $0.00            0           $0.00   $2,334.00
               5      000020297               99  $2,842.00          0       $0.00            0           $0.00   $2,842.00
               6      000021593              100  $2,237.00          0       $0.00            0           $0.00   $2,237.00
               7      000021594              100  $1,578.00          0       $0.00            0           $0.00   $1,578.00
               8      000021595              100  $2,030.00          0       $0.00            0           $0.00   $2,030.00
               9      000021597              100  $2,208.01          0       $0.00            0           $0.00   $2,208.01
              10      000023866               50  $1,171.00          0       $0.00            0           $0.00   $1,171.00
              11      000023867               50  $1,284.00          0       $0.00            0           $0.00   $1,284.00
              12      000026253               37     $712.00         0       $0.00            0           $0.00     $712.00

                                                            Page: 1 of 18Item Batch Number Checks                          Chk Amt          Cash       Cash Amt          Foreign        Foreign Amt            Total Amt
 13         000026397                       14      $238.00               0          $0.00                 0               $0.00         $238.00
 14         000026983                       49   $1,123.00                0          $0.00                 0               $0.00      $1,123.00
 15         000026987                       48   $1,251.00                0          $0.00                 0               $0.00      $1,251.00
 16         000030844                       49   $1,100.00                0          $0.00                 0               $0.00      $1,100.00
 17         000030846                       50   $1,208.00                0          $0.00                 0               $0.00      $1,208.00
 18         000033151                         0         $0.00             3        $32.00                  0               $0.00           $32.00
 19         000033152                         1       $16.00              1          $1.00                 0               $0.00           $17.00
 20         000033924                       97   $2,402.00                0          $0.00                 0               $0.00      $2,402.00
 21         000033925                     100    $2,512.00                0          $0.00                 0               $0.00      $2,512.00
 22         000033926                       97   $2,309.00                0          $0.00                 0               $0.00      $2,309.00
 23         000033927                     100    $2,269.00                0          $0.00                 0               $0.00      $2,269.00
 24         000034031                     100    $3,659.00                0          $0.00                 0               $0.00      $3,659.00
 25         000035291                         0         $0.00             2        $36.00                  0               $0.00           $36.00
 26         000035626                       50   $1,052.00                0          $0.00                 0               $0.00      $1,052.00
 27         000035628                       50   $1,204.00                0          $0.00                 0               $0.00      $1,204.00
 28         000035630                       50   $1,020.00                0          $0.00                 0               $0.00      $1,020.00
 29         000035725                       50      $990.00               0          $0.00                 0               $0.00         $990.00
 30         000035731                       50   $1,142.00                0          $0.00                 0               $0.00      $1,142.00
 31         000035743                       50      $904.00               0          $0.00                 0               $0.00         $904.00
 32         000035744                       50   $1,017.00                0          $0.00                 0               $0.00      $1,017.00
 33         000035841                       50   $1,036.00                0          $0.00                 0               $0.00      $1,036.00
 34         000035842                       50      $947.00               0          $0.00                 0               $0.00         $947.00
 35         000037004                         3       $90.00              0          $0.00                 0               $0.00           $90.00
 36         000037005                       12      $270.00               0          $0.00                 0               $0.00         $270.00
 37         000037006                         4     $240.00               0          $0.00                 0               $0.00         $240.00
 38         000037007                         1     $100.00               0          $0.00                 0               $0.00         $100.00
 39         000037008                       22      $640.00               0          $0.00                 0               $0.00         $640.00
 40         000037009                       42   $1,265.00                0          $0.00                 0               $0.00      $1,265.00
 41         000037232                         6     $220.00               0          $0.00                 0               $0.00         $220.00
 42         000039978                       50   $1,234.00                0          $0.00                 0               $0.00      $1,234.00
 43         000039987                       48      $922.00               0          $0.00                 0               $0.00         $922.00
 44         000039988                       50   $1,050.00                0          $0.00                 0               $0.00      $1,050.00
 45         000039989                       49   $1,269.00                0          $0.00                 0               $0.00      $1,269.00
 46         000039990                       50   $1,134.00                0          $0.00                 0               $0.00      $1,134.00
 47         000039991                       50   $1,341.00                0          $0.00                 0               $0.00      $1,341.00
 48         000039992                       49   $1,158.00                0          $0.00                 0               $0.00      $1,158.00
 49         000039993                       50   $1,362.50                0          $0.00                 0               $0.00      $1,362.50
 50         000039994                       49   $1,119.00                0          $0.00                 0               $0.00      $1,119.00
 51         000039995                       49      $993.00               0          $0.00                 0               $0.00         $993.00
 52         000039996                       50   $1,099.00                0          $0.00                 0               $0.00      $1,099.00
 53         000039998                       50   $1,232.00                0          $0.00                 0               $0.00      $1,232.00
 54         000040000                       50   $1,267.00                0          $0.00                 0               $0.00      $1,267.00
 55         000040001                       50   $1,341.00                0          $0.00                 0               $0.00      $1,341.00
 56         000040080                       50   $1,150.00                0          $0.00                 0               $0.00      $1,150.00
 57         000040081                       50   $1,109.00                0          $0.00                 0               $0.00      $1,109.00
 58         000040082                       50   $1,274.00                0          $0.00                 0               $0.00      $1,274.00
 59         000040083                       50   $1,273.00                0          $0.00                 0               $0.00      $1,273.00
 60         000040084                       49   $1,497.00                0          $0.00                 0               $0.00      $1,497.00
 61         000040085                       50   $1,267.00                0          $0.00                 0               $0.00      $1,267.00
 62         000040086                       50   $1,197.00                0          $0.00                 0               $0.00      $1,197.00
 63         000040087                       50   $1,100.00                0          $0.00                 0               $0.00      $1,100.00
 64         000040088                       50   $1,211.00                0          $0.00                 0               $0.00      $1,211.00
 65         000040091                       50   $1,201.00                0          $0.00                 0               $0.00      $1,201.00

                                                              Page: 2 of 18Item Batch Number Checks                          Chk Amt          Cash       Cash Amt          Foreign        Foreign Amt            Total Amt
 66         000040092                       50   $1,130.00                0          $0.00                 0               $0.00      $1,130.00
 67         000040093                       49   $1,195.00                0          $0.00                 0               $0.00      $1,195.00
 68         000040094                       50   $1,166.00                0          $0.00                 0               $0.00      $1,166.00
 69         000040095                       49   $1,154.00                0          $0.00                 0               $0.00      $1,154.00
 70         000040096                       50   $1,399.00                0          $0.00                 0               $0.00      $1,399.00
 71         000040098                       50   $1,150.00                0          $0.00                 0               $0.00      $1,150.00
 72         000040099                       48   $1,162.00                0          $0.00                 0               $0.00      $1,162.00
 73         000040100                       48   $1,205.00                0          $0.00                 0               $0.00      $1,205.00
 74         000040505                       50      $900.00               0          $0.00                 0               $0.00         $900.00
 75         000040506                       50   $1,227.00                0          $0.00                 0               $0.00      $1,227.00
 76         000040507                       50   $1,161.00                0          $0.00                 0               $0.00      $1,161.00
 77         000040508                       50   $1,153.00                0          $0.00                 0               $0.00      $1,153.00
 78         000040509                       50   $1,205.00                0          $0.00                 0               $0.00      $1,205.00
 79         000040510                       49   $1,252.00                0          $0.00                 0               $0.00      $1,252.00
 80         000040511                       50   $1,288.00                0          $0.00                 0               $0.00      $1,288.00
 81         000040605                       50   $1,148.00                0          $0.00                 0               $0.00      $1,148.00
 82         000040606                       50      $955.00               0          $0.00                 0               $0.00         $955.00
 83         000040607                       50      $948.00               0          $0.00                 0               $0.00         $948.00
 84         000040608                       50   $1,101.00                0          $0.00                 0               $0.00      $1,101.00
 85         000040610                       50   $1,068.00                0          $0.00                 0               $0.00      $1,068.00
 86         000040611                       50   $1,263.00                0          $0.00                 0               $0.00      $1,263.00
 87         000040612                       50   $1,035.00                0          $0.00                 0               $0.00      $1,035.00
 88         000040613                       50   $1,026.00                0          $0.00                 0               $0.00      $1,026.00
 89         000040614                       50   $1,055.00                0          $0.00                 0               $0.00      $1,055.00
 90         000040615                       50   $1,069.00                0          $0.00                 0               $0.00      $1,069.00
 91         000040703                         0         $0.00             0          $0.00                 0               $0.00             $0.00
 92         000040713                       50   $1,005.00                0          $0.00                 0               $0.00      $1,005.00
 93         000040714                       50      $969.00               0          $0.00                 0               $0.00         $969.00
 94         000040715                       50   $1,104.00                0          $0.00                 0               $0.00      $1,104.00
 95         000041883                       50   $1,130.00                0          $0.00                 0               $0.00      $1,130.00
 96         000041892                       50   $1,278.00                0          $0.00                 0               $0.00      $1,278.00
 97         000041981                       50   $1,285.00                0          $0.00                 0               $0.00      $1,285.00
 98         000041990                       50   $1,179.00                0          $0.00                 0               $0.00      $1,179.00
 99         000041994                       50   $1,197.00                0          $0.00                 0               $0.00      $1,197.00
100         000041995                       50   $1,132.00                0          $0.00                 0               $0.00      $1,132.00
101         000043044                       99   $2,557.00                0          $0.00                 0               $0.00      $2,557.00
102         000043045                       99   $2,739.00                0          $0.00                 0               $0.00      $2,739.00
103         000043046                     100    $2,409.00                0          $0.00                 0               $0.00      $2,409.00
104         000043047                       98   $2,190.00                0          $0.00                 1             $17.00       $2,207.00
105         000043048                     100    $2,036.95                0          $0.00                 0               $0.00      $2,036.95
106         000043049                     100    $2,522.00                0          $0.00                 0               $0.00      $2,522.00
107         000043050                     100    $2,459.00                0          $0.00                 0               $0.00      $2,459.00
108         000043051                     100    $2,859.00                0          $0.00                 0               $0.00      $2,859.00
109         000043089                     100    $2,325.00                0          $0.00                 0               $0.00      $2,325.00
110         000043090                     100    $2,364.00                0          $0.00                 0               $0.00      $2,364.00
111         000043094                     100    $2,040.00                0          $0.00                 0               $0.00      $2,040.00
112         000043095                     100    $1,905.00                0          $0.00                 0               $0.00      $1,905.00
113         000043096                       99   $2,064.00                0          $0.00                 0               $0.00      $2,064.00
114         000043217                     100    $1,894.00                0          $0.00                 0               $0.00      $1,894.00
115         000043218                     100    $2,049.00                0          $0.00                 0               $0.00      $2,049.00
116         000043252                     100    $1,889.00                0          $0.00                 0               $0.00      $1,889.00
117         000043253                     100    $2,120.00                0          $0.00                 0               $0.00      $2,120.00
118         000043254                     100    $2,015.00                0          $0.00                 0               $0.00      $2,015.00

                                                              Page: 3 of 18Item Batch Number Checks                          Chk Amt          Cash       Cash Amt          Foreign        Foreign Amt            Total Amt
119         000043255                     100    $2,379.00                0          $0.00                 0               $0.00      $2,379.00
